Mese,Id Equipaggio,Delta Median,Reschedule Ratio,Norm Delta,Norm Reschedule,Composite,KPI
1,1381,60.5,0.02631578947368421,0.8586448598130841,0.9210526315789472,0.9002500409903262,86.53
1,1464,29.0,0.0,0.9322429906542056,1.0,0.9774143302180686,96.95
1,1501,62.6,0.0,0.8537383177570093,1.0,0.951246105919003,93.41
1,2007,153.0,0.029411764705882353,0.6425233644859814,0.9117647058823529,0.8220175920835625,75.96
1,2242,92.5,0.04424778761061947,0.7838785046728972,0.8672566371681415,0.8394639263363933,78.31
1,2399,109.1,0.05405405405405406,0.7450934579439252,0.8378378378378378,0.806923044539867,73.92
1,2529,120.3,0.15384615384615385,0.7189252336448598,0.5384615384615384,0.5986161035226456,45.78
1,2657,49.6,0.013888888888888888,0.8841121495327102,0.9583333333333333,0.9335929387331255,91.03
1,2884,94.5,0.0,0.7792056074766355,1.0,0.9264018691588785,90.06
1,2914,13.0,0.04,0.969626168224299,0.88,0.9098753894080998,87.83
1,2971,255.5,0.08333333333333333,0.4030373831775701,0.75,0.6343457943925234,50.6
1,3433,54.8,0.022727272727272728,0.8719626168224299,0.9318181818181819,0.9118663268195978,88.09
1,3457,140.8,0.0,0.6710280373831775,1.0,0.8903426791277258,85.19
1,3461,78.2,0.06666666666666667,0.8172897196261683,0.8,0.8057632398753894,73.76
1,3590,95.4,0.0196078431372549,0.7771028037383179,0.9411764705882353,0.8864852483049295,84.67
1,3620,25.2,0.08333333333333333,0.9411214953271029,0.75,0.8137071651090343,74.83
1,3637,83.6,0.012195121951219513,0.8046728971962617,0.9634146341463414,0.910500721829648,87.91
1,3671,40.3,0.019801980198019802,0.905841121495327,0.9405940594059405,0.9290097467690693,90.41
1,3726,81.8,0.02631578947368421,0.8088785046728971,0.9210526315789472,0.8836612559435972,84.28
1,3911,106.8,0.03773584905660377,0.7504672897196262,0.8867924528301887,0.8413507317933345,78.57
1,3992,73.9,0.043478260869565216,0.8273364485981309,0.8695652173913042,0.8554889611269132,80.48
1,4059,103.4,0.0,0.7584112149532711,1.0,0.9194704049844237,89.12
1,4094,71.0,0.04838709677419355,0.8341121495327103,0.8548387096774193,0.8479298562958495,79.46
1,4096,77.1,0.0,0.819859813084112,1.0,0.9399532710280373,91.89
1,4144,74.4,0.008928571428571428,0.8261682242990654,0.9732142857142856,0.9241989319092122,89.76
1,4267,137.7,0.04,0.6782710280373832,0.88,0.8127570093457944,74.71
1,4271,91.7,0.058823529411764705,0.7857476635514019,0.8235294117647058,0.8109354956936045,74.46
1,4277,41.8,0.039603960396039604,0.9023364485981308,0.8811881188118812,0.8882375620739644,84.9
1,4680,126.3,0.05714285714285714,0.7049065420560747,0.8285714285714285,0.7873497997329773,71.27
1,4776,85.0,0.009615384615384616,0.8014018691588785,0.971153846153846,0.9145698538221901,88.46
1,4848,26.5,0.0,0.9380841121495327,1.0,0.9793613707165109,97.21
1,4868,34.9,0.024691358024691357,0.9184579439252337,0.9259259259259259,0.9234365985923619,89.66
1,4945,23.4,0.009523809523809525,0.9453271028037383,0.9714285714285713,0.9627280818869602,94.97
1,4973,84.5,0.02564102564102564,0.802570093457944,0.923076923076923,0.8829079798705967,84.18
1,5022,89.3,0.11688311688311688,0.7913551401869159,0.6493506493506493,0.6966854796294049,59.03
1,5151,22.8,0.030303030303030304,0.9467289719626168,0.909090909090909,0.921636930048145,89.41
1,5154,35.2,0.018691588785046728,0.9177570093457944,0.9439252336448598,0.935202492211838,91.25
1,5507,50.6,0.03305785123966942,0.8817757009345794,0.9008264462809917,0.8944761978321876,85.75
1,5550,135.1,0.04,0.6843457943925233,0.88,0.8147819314641745,74.98
1,5581,61.9,0.056818181818181816,0.855373831775701,0.8295454545454545,0.8381549136222034,78.14
1,5643,18.2,0.03571428571428571,0.9574766355140187,0.8928571428571429,0.9143969737427682,88.44
1,5690,149.9,0.0,0.649766355140187,1.0,0.8832554517133957,84.23
1,5788,13.7,0.07142857142857142,0.9679906542056075,0.7857142857142856,0.8464730752113929,79.26
1,5834,168.0,0.0,0.6074766355140186,1.0,0.8691588785046728,82.33
1,5868,168.4,0.04938271604938271,0.6065420560747664,0.8518518518518519,0.7700819199261567,68.94
1,5940,16.5,0.011494252873563218,0.9614485981308412,0.9655172413793104,0.964161026963154,95.16
1,6006,101.8,0.0449438202247191,0.7621495327102803,0.8651685393258427,0.8308288704539886,77.15
1,6013,30.9,0.06542056074766354,0.9278037383177571,0.8037383177570093,0.8450934579439253,79.07
1,6021,73.4,0.07368421052631578,0.8285046728971963,0.7789473684210526,0.7954664699131004,72.37
1,6058,10.3,0.010526315789473684,0.9759345794392523,0.968421052631579,0.97092556156747,96.07
1,6061,22.1,0.03389830508474576,0.9483644859813084,0.8983050847457626,0.9149915518242778,88.52
1,6101,69.5,0.03278688524590164,0.8376168224299065,0.9016393442622951,0.8802985036514989,83.83
1,6162,138.5,0.0625,0.6764018691588785,0.8125,0.7671339563862928,68.54
1,6487,104.2,0.0,0.7565420560747664,1.0,0.9188473520249222,89.04
1,6488,58.2,0.056074766355140186,0.8640186915887851,0.8317757009345794,0.8425233644859813,78.73
1,6524,9.5,0.06481481481481481,0.977803738317757,0.8055555555555555,0.8629716164762894,81.49
1,6550,28.7,0.031578947368421054,0.9329439252336449,0.9052631578947369,0.9144900803410395,88.45
1,6578,43.0,0.029411764705882353,0.8995327102803738,0.9117647058823529,0.9076873740150265,87.53
1,6579,10.3,0.05263157894736842,0.9759345794392523,0.8421052631578947,0.8867150352516806,84.7
1,6730,20.7,0.045454545454545456,0.9516355140186916,0.8636363636363635,0.8929694137638062,85.54
1,6735,79.8,0.009900990099009901,0.8135514018691589,0.9702970297029703,0.9180484870916998,88.93
1,6769,122.3,0.021052631578947368,0.7142523364485981,0.9368421052631578,0.8626455156583046,81.45
1,6858,91.2,0.010752688172043012,0.7869158878504673,0.967741935483871,0.9074665862727365,87.5
1,7148,44.0,0.0,0.897196261682243,1.0,0.9657320872274143,95.37
1,7173,31.8,0.01020408163265306,0.9257009345794392,0.9693877551020408,0.9548254815945069,93.9
1,7269,31.5,0.12987012987012986,0.9264018691588785,0.6103896103896104,0.7157270299793663,61.6
1,7308,162.3,0.004081632653061225,0.6207943925233644,0.9877551020408163,0.8654348655349989,81.82
1,7345,2.2,0.011764705882352941,0.9948598130841122,0.9647058823529411,0.9747571925966648,96.59
1,7346,66.2,0.0,0.8453271028037384,1.0,0.9484423676012461,93.04
1,7450,50.9,0.0,0.8810747663551403,1.0,0.9603582554517135,94.64
1,7488,49.5,0.06097560975609756,0.8843457943925234,0.8170731707317073,0.8394973786186459,78.32
1,7489,55.7,0.03508771929824561,0.8698598130841122,0.8947368421052632,0.8864444990982129,84.66
1,7490,27.8,0.018018018018018018,0.9350467289719626,0.9459459459459459,0.9423128736212848,92.21
1,7542,82.9,0.022727272727272728,0.8063084112149533,0.9318181818181819,0.8899815916171058,85.14
1,7555,25.6,0.012658227848101266,0.9401869158878504,0.9620253164556961,0.9547458495997476,93.89
1,7631,12.5,0.009345794392523364,0.9707943925233645,0.9719626168224299,0.9715732087227413,96.16
1,7826,0.1,0.0,0.9997663551401869,1.0,0.9999221183800624,99.99
1,7961,72.0,0.0380952380952381,0.8317757009345794,0.8857142857142856,0.8677347574543836,82.13
1,7974,40.3,0.013513513513513514,0.905841121495327,0.9594594594594593,0.9415866801380819,92.11
1,8004,15.8,0.0594059405940594,0.9630841121495327,0.8217821782178217,0.8688828228617254,82.29
1,8013,24.2,0.008928571428571428,0.9434579439252336,0.9732142857142856,0.9632955051179349,95.04
1,8015,38.7,0.018867924528301886,0.9095794392523365,0.9433962264150944,0.9321239640275084,90.83
1,8019,47.0,0.008928571428571428,0.8901869158878505,0.9732142857142856,0.9455384957721406,92.64
1,8033,25.4,0.010752688172043012,0.9406542056074767,0.967741935483871,0.9587126921917395,94.42
1,8034,76.3,0.033707865168539325,0.8217289719626168,0.8988764044943819,0.8731605936504603,82.87
1,8084,13.8,0.013157894736842105,0.9677570093457943,0.9605263157894737,0.9629365469749139,94.99
1,8305,48.9,0.042735042735042736,0.8857476635514019,0.8717948717948717,0.8764458023803817,83.31
1,8529,127.1,0.0,0.70303738317757,1.0,0.90101246105919,86.63
1,8538,48.6,0.052083333333333336,0.8864485981308411,0.84375,0.8579828660436137,80.82
1,8564,38.6,0.034482758620689655,0.9098130841121495,0.8965517241379309,0.9009721774626704,86.62
1,8565,90.7,0.04054054054054054,0.7880841121495328,0.8783783783783784,0.8482802896354298,79.5
1,8566,10.3,0.03225806451612903,0.9759345794392523,0.9032258064516128,0.9274620641141593,90.2
1,8659,92.8,0.07368421052631578,0.7831775700934579,0.7789473684210526,0.7803574356451877,70.33
1,8667,31.7,0.017857142857142856,0.9259345794392524,0.9464285714285714,0.939597240765465,91.84
1,8927,92.6,0.04597701149425287,0.7836448598130841,0.8620689655172413,0.8359275969491888,77.84
1,8928,94.7,0.007194244604316547,0.7787383177570094,0.9784172661870503,0.9118576167103699,88.09
1,8956,22.6,0.047619047619047616,0.9471962616822429,0.8571428571428571,0.8871606586559857,84.76
1,8957,26.5,0.05084745762711865,0.9380841121495327,0.8474576271186439,0.8776664554622735,83.47
1,8965,81.3,0.04285714285714286,0.8100467289719626,0.8714285714285713,0.8509679572763685,79.87
1,8966,23.2,0.07142857142857142,0.9457943925233645,0.7857142857142856,0.839074321317312,78.26
1,8988,99.5,0.1308411214953271,0.7675233644859814,0.6074766355140188,0.6608255451713397,54.18
1,8997,32.5,0.0196078431372549,0.9240654205607477,0.9411764705882353,0.9354727872457395,91.28
1,8998,72.7,0.023255813953488372,0.8301401869158879,0.9302325581395349,0.8968684343983192,86.07
1,9015,108.4,0.0,0.7467289719626169,1.0,0.915576323987539,88.6
1,9016,138.4,0.06,0.6766355140186916,0.82,0.7722118380062305,69.23
1,9017,122.1,0.02247191011235955,0.7147196261682243,0.9325842696629213,0.8599627218313556,81.08
1,9018,55.5,0.007352941176470588,0.8703271028037384,0.9779411764705883,0.9420698185816384,92.17
1,9082,168.0,0.0,0.6074766355140186,1.0,0.8691588785046728,82.33
1,9083,103.0,0.0,0.7593457943925234,1.0,0.9197819314641744,89.16
1,9084,275.5,0.0,0.35630841121495327,1.0,0.785436137071651,71.02
1,9085,428.0,0.0,0.0,1.0,0.6666666666666666,54.97
1,9086,166.5,0.0,0.610981308411215,1.0,0.8703271028037384,82.48
2,1381,54.3,0.0,0.8731308411214953,1.0,0.9577102803738318,94.29
2,1464,23.8,0.013513513513513514,0.944392523364486,0.9594594594594593,0.9544371474278016,93.85
2,1501,21.9,0.0,0.9488317757009347,1.0,0.9829439252336449,97.7
2,2007,16.3,0.0,0.9619158878504672,1.0,0.9873052959501557,98.29
2,2242,71.7,0.02727272727272727,0.8324766355140187,0.9181818181818181,0.8896134239592184,85.09
2,2399,6.7,0.0,0.9843457943925233,1.0,0.9947819314641745,99.3
2,2529,182.3,0.0,0.5740654205607476,1.0,0.8580218068535825,80.82
2,2657,78.9,0.0,0.8156542056074767,1.0,0.9385514018691589,91.7
2,2884,65.2,0.012658227848101266,0.8476635514018692,0.9620253164556961,0.9239047281044205,89.72
2,2914,219.3,0.0,0.4876168224299065,1.0,0.8292056074766355,76.93
2,2971,133.5,0.0,0.6880841121495327,1.0,0.8960280373831775,85.95
2,3433,79.6,0.021052631578947368,0.814018691588785,0.9368421052631578,0.8959009673717003,85.94
2,3457,93.0,0.023255813953488372,0.7827102803738317,0.9302325581395349,0.8810584655509672,83.93
2,3461,66.0,0.0,0.8457943925233645,1.0,0.9485981308411214,93.06
2,3590,114.7,0.04395604395604396,0.7320093457943926,0.868131868131868,0.8227576940193763,76.06
2,3620,32.7,0.02,0.9235981308411215,0.94,0.9345327102803738,91.16
2,3637,73.2,0.0,0.8289719626168225,1.0,0.9429906542056075,92.3
2,3671,162.8,0.0,0.6196261682242991,1.0,0.873208722741433,82.87
2,3726,83.8,0.0,0.8042056074766355,1.0,0.9347352024922119,91.18
2,3911,77.5,0.010869565217391304,0.8189252336448598,0.967391304347826,0.917902614113504,88.91
2,3992,35.5,0.031746031746031744,0.9170560747663551,0.9047619047619048,0.9088599614300549,87.69
2,4059,14.2,0.0,0.9668224299065421,1.0,0.9889408099688474,98.51
2,4094,40.6,0.02247191011235955,0.9051401869158878,0.9325842696629213,0.9234362420805768,89.66
2,4096,183.0,0.023255813953488372,0.572429906542056,0.9302325581395349,0.8109650076070419,74.46
2,4144,61.4,0.011627906976744186,0.8565420560747664,0.9651162790697674,0.9289248714047671,90.4
2,4267,48.9,0.0,0.8857476635514019,1.0,0.9619158878504673,94.86
2,4271,103.4,0.052083333333333336,0.7584112149532711,0.84375,0.815303738317757,75.05
